Item ID	Custom Label	Quantity Available	Purchases	Bids	Price	Start Date	End Date	Condition	Type	Item Title	Category Leaf Name	Category Number	Private Notes	Site Listed	Download Date	Variation Details	Product Reference ID	Condition ID	OutOfStockControl	LISTING TYPE (DELETE THIS COLUMN IF PERFORMING KERP IMPORT)
264060179278	TEE_WOMENS_WHEN_LAMBO_BLK_14	2	0		19.95	26-Nov-18		Brand New	9	When Lambo? Blockchain Crypto Currency Geek Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,14] Style Women's Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060179278	TEE_WOMENS_WHEN_LAMBO_BLK_16	2	0		19.95	26-Nov-18		Brand New	9	When Lambo? Blockchain Crypto Currency Geek Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,16] Style Women's Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060179278	TEE_MENS_WHEN_LAMBO_BLK_M	3	0		19.95	26-Nov-18		Brand New	9	When Lambo? Blockchain Crypto Currency Geek Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,M] Style Men's Basic Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060179278	TEE_MENS_WHEN_LAMBO_BLK_L	2	0		19.95	26-Nov-18		Brand New	9	When Lambo? Blockchain Crypto Currency Geek Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,L] Style Men's Basic Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060179278	TEE_MENS_WHEN_LAMBO_BLK_XL	2	0		19.95	26-Nov-18		Brand New	9	When Lambo? Blockchain Crypto Currency Geek Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,XL] Style Men's Basic Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060179278	TEE_MENS_WHEN_LAMBO_BLK_XXL	2	0		19.95	26-Nov-18		Brand New	9	When Lambo? Blockchain Crypto Currency Geek Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,2XL] Style Men's Basic Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060179278	TEE_WOMENS_WHEN_LAMBO_BLK_6	2	0		19.95	26-Nov-18		Brand New	9	When Lambo? Blockchain Crypto Currency Geek Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,6] Style Women's Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060179278	TEE_MENS_WHEN_LAMBO_BLK_S	2	0		19.95	26-Nov-18		Brand New	9	When Lambo? Blockchain Crypto Currency Geek Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,S] Style Men's Basic Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060181125	TEE_WOMENS_HODL_BLK_6	2	0		19.95	26-Nov-18		Brand New	9	HODL Blockchain Bitcoin Crypto Currency Geek Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,6] Style Women's Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060181125	TEE_WOMENS_HODL_BLK_8	2	0		19.95	26-Nov-18		Brand New	9	HODL Blockchain Bitcoin Crypto Currency Geek Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,8] Style Women's Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
264060181125	TEE_WOMENS_HODL_BLK_10	2	0		19.95	26-Nov-18		Brand New	9	HODL Blockchain Bitcoin Crypto Currency Geek Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,10] Style Women's Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
